date,price
2026-01-10,3082.4788924843097
2026-01-10,3083.542761475709
2026-01-10,3088.6041873645304
2026-01-10,3085.925444927948
2026-01-10,3091.3913938722617
2026-01-10,3098.280266194768
2026-01-10,3093.1069061462263
2026-01-10,3094.6417202061743
2026-01-10,3090.674348239095
2026-01-10,3087.079734183184
2026-01-10,3091.055756540553
2026-01-10,3091.641757749023
2026-01-10,3088.529693522589
2026-01-11,3088.762742863389
2026-01-11,3087.4323652451144
2026-01-11,3085.448627572934
2026-01-11,3082.045289931931
2026-01-11,3076.463023011334
2026-01-11,3081.6917701006164
2026-01-11,3087.538753954775
2026-01-11,3091.232423007324
2026-01-11,3089.558712072397
2026-01-11,3092.6409345124493
2026-01-11,3093.99608576011
2026-01-11,3094.7762566718875
2026-01-11,3093.847053695694
2026-01-11,3090.4757958521786
2026-01-11,3099.719875610859
2026-01-11,3100.730547595653
2026-01-11,3102.7317691868793
2026-01-11,3101.0477602100846
2026-01-11,3110.401867576942
2026-01-11,3105.356894554065
2026-01-11,3119.5758469186617
2026-01-11,3114.6688508709876
2026-01-11,3125.106605269003
2026-01-11,3122.233015402484
2026-01-12,3124.2906383278264
2026-01-12,3120.1228385800914
2026-01-12,3107.8756005331998
2026-01-12,3117.231102285829
2026-01-12,3105.1191717123975
2026-01-12,3119.3619360372772
2026-01-12,3116.4958286073297
2026-01-12,3120.133703799189
2026-01-12,3155.336175387848
2026-01-12,3150.015958053487
2026-01-12,3155.428258569285
2026-01-12,3155.2257277708195
2026-01-12,3148.5393969955085
2026-01-12,3130.7072320522034
2026-01-12,3110.871398586523
2026-01-12,3112.033892078764
2026-01-12,3103.043067055309
2026-01-12,3111.5657993752234
2026-01-12,3112.7904163667827
2026-01-12,3106.993859153231
2026-01-12,3099.3580516793822
2026-01-12,3127.7139260826443
2026-01-12,3129.734765423107
2026-01-12,3101.9115123566257
2026-01-13,3103.6647180637174
2026-01-13,3118.539681931758
2026-01-13,3099.594499288929
2026-01-13,3089.859799328128
2026-01-13,3093.9608938288484
2026-01-13,3091.3342564712493
2026-01-13,3104.421984903272
2026-01-13,3093.6613334753756
2026-01-13,3098.6410693932025
2026-01-13,3112.697060823075
2026-01-13,3119.9396593690126
2026-01-13,3129.2843367947426
2026-01-13,3129.2181337818843
2026-01-13,3119.7632986644458
2026-01-13,3132.874054328134
2026-01-13,3135.43485097706
2026-01-13,3129.777296600298
2026-01-13,3131.349790605605
2026-01-13,3130.828169710614
2026-01-13,3139.9740785577437
2026-01-13,3143.619142171232
2026-01-13,3168.563161769329
2026-01-13,3190.0954724087255
2026-01-13,3177.635444658659
2026-01-14,3198.81518356044
2026-01-14,3210.4232974148085
2026-01-14,3203.2008890272687
2026-01-14,3209.102996140998
2026-01-14,3330.1019109696003
2026-01-14,3319.9354070565078
2026-01-14,3322.426209494073
2026-01-14,3331.748538457779
2026-01-14,3323.7360542730935
2026-01-14,3350.310521018246
2026-01-14,3334.861450416723
2026-01-14,3327.051356180885
2026-01-14,3330.8844674525135
2026-01-14,3335.2668384398467
2026-01-14,3327.2722963292276
2026-01-14,3326.922122520005
2026-01-14,3314.8996166228694
2026-01-14,3283.6826808697833
2026-01-14,3294.420047669845
2026-01-14,3300.5306604350617
2026-01-14,3341.572651234266
2026-01-14,3345.3407808743027
2026-01-14,3368.19696667591
2026-01-14,3340.0311764784924
2026-01-15,3338.5733721901133
2026-01-15,3363.7740528762447
2026-01-15,3379.565980244238
2026-01-15,3372.5521680912802
2026-01-15,3351.268436243383
2026-01-15,3354.6842221862175
2026-01-15,3333.976929658703
2026-01-15,3324.9992288459566
2026-01-15,3314.807917101872
2026-01-15,3283.889052313213
2026-01-15,3306.791312604553
2026-01-15,3312.2248508408497
2026-01-15,3314.325267632158
2026-01-15,3327.8677296056735
2026-01-15,3334.5296030232553
2026-01-15,3362.3618004275554
2026-01-15,3362.6673671910867
2026-01-15,3348.358623369633
2026-01-15,3367.9780100538946
2026-01-15,3374.4562131864677
2026-01-15,3341.514724617176
2026-01-15,3322.664690484606
2026-01-15,3329.783641343506
2026-01-15,3301.353256051389
2026-01-16,3285.7714307182277
2026-01-16,3293.5684696495814
2026-01-16,3285.7720217014967
2026-01-16,3299.7587454800946
2026-01-16,3305.671361431653
2026-01-16,3317.2974244936777
2026-01-16,3316.3160531598674
2026-01-16,3312.7604084426757
2026-01-16,3302.7315763871707
2026-01-16,3294.743898761574
2026-01-16,3287.7541258651827
2026-01-16,3309.3221055773697
2026-01-16,3313.1327217828975
2026-01-16,3306.999912834378
2026-01-16,3311.4889363379634
2026-01-16,3307.1564828771297
2026-01-16,3295.4005879675237
2026-01-16,3300.233824379366
2026-01-16,3306.5048191946844
2026-01-16,3309.5950030848853
2026-01-16,3294.0916448801063
2026-01-16,3263.3938005347827
2026-01-16,3277.0673366579504
2026-01-16,3281.6723705446616
2026-01-17,3276.515375452005
2026-01-17,3274.2541205775165
2026-01-17,3291.4332542629486
2026-01-17,3292.9966952268246
2026-01-17,3292.1729555345696
2026-01-17,3295.283518004227
2026-01-17,3291.3815376365105
2026-01-17,3288.77283945868
2026-01-17,3290.5772180260506
2026-01-17,3288.014474864383
2026-01-17,3290.30846520757
2026-01-17,3289.9349784275355
2026-01-17,3289.564763805509
2026-01-17,3289.7217872550664
2026-01-17,3294.677446838837
2026-01-17,3297.9267826079445
2026-01-17,3294.5527679937663
2026-01-17,3301.124778632926
2026-01-17,3301.2223196682266
2026-01-17,3302.2400899419677
2026-01-17,3308.0305382319616
2026-01-17,3324.3614241904315
