date,price
2026-01-10,90477.10336720805
2026-01-10,90411.41406005711
2026-01-10,90550.1254728524
2026-01-10,90536.31233043248
2026-01-10,90626.47106220131
2026-01-10,90706.43185761382
2026-01-10,90610.94754141169
2026-01-10,90615.82686099659
2026-01-10,90535.42846457014
2026-01-10,90457.5911430405
2026-01-10,90543.90135526682
2026-01-10,90562.0776758831
2026-01-10,90435.06588523755
2026-01-11,90467.62620146402
2026-01-11,90510.82542755413
2026-01-11,90448.41475268416
2026-01-11,90389.70963179453
2026-01-11,90363.86140473763
2026-01-11,90442.01907847001
2026-01-11,90501.27929051575
2026-01-11,90512.07969256911
2026-01-11,90592.97255985778
2026-01-11,90606.45654288269
2026-01-11,90671.412556998
2026-01-11,90647.32333127785
2026-01-11,90629.48552363305
2026-01-11,90591.01576682138
2026-01-11,90667.37243140973
2026-01-11,90618.27942647463
2026-01-11,90609.85742051488
2026-01-11,90594.02833071497
2026-01-11,90832.94805593694
2026-01-11,90735.04000387069
2026-01-11,90965.74726908172
2026-01-11,90683.21305430884
2026-01-11,90910.27020511367
2026-01-11,90845.08072008625
2026-01-12,90765.54313335926
2026-01-12,90568.91129749212
2026-01-12,90529.8915865248
2026-01-12,90560.70509308028
2026-01-12,90438.21120646725
2026-01-12,90819.36598904192
2026-01-12,91132.02955442139
2026-01-12,91307.32992548757
2026-01-12,92107.88075702584
2026-01-12,91817.81558928672
2026-01-12,92050.80110465926
2026-01-12,92000.56069703125
2026-01-12,91685.52725626926
2026-01-12,91286.85936920988
2026-01-12,90554.35924168116
2026-01-12,90645.64542972311
2026-01-12,90321.59538536768
2026-01-12,90520.63018337116
2026-01-12,90637.38415488276
2026-01-12,90547.38659071774
2026-01-12,90777.48046560411
2026-01-12,91573.11268450855
2026-01-12,92067.65251681308
2026-01-12,91432.20438752284
2026-01-13,91555.81977959537
2026-01-13,91771.05577437328
2026-01-13,91393.03581085455
2026-01-13,91101.07731491383
2026-01-13,91152.85062984926
2026-01-13,91134.96917951507
2026-01-13,91292.38677537513
2026-01-13,91063.01415329082
2026-01-13,91030.83565948856
2026-01-13,91287.1106880113
2026-01-13,91393.29393835805
2026-01-13,91890.92695264723
2026-01-13,92041.3942222977
2026-01-13,91845.55360727236
2026-01-13,92068.61894171091
2026-01-13,92142.92265050135
2026-01-13,91991.89173712923
2026-01-13,91920.04282099016
2026-01-13,91961.64040206757
2026-01-13,92115.73196683275
2026-01-13,92439.17573841207
